"id"	en
FMA14331	splenic vein
FMA9607	thymus
FMA71193	lobe of thymus
FMA7196	spleen
FMA74594	lymphoid system
FMA7157	nervous system
FMA55675	neuraxis
FMA67242	gray matter of neuraxis
FMA83929	white matter of neuraxis
FMA83716	subarachnoid space
FMA7647	spinal cord
FMA78497	central canal of spinal cord
FMA50801	brain
FMA67687	hindbrain
FMA62004	medulla oblongata
FMA62003	metencephalon
FMA61993	midbrain
FMA61992	forebrain
FMA62001	diencephalon
FMA62000	telencephalon
FMA67943	pons
FMA78469	fourth ventricle
FMA78439	roof of fourth ventricle
FMA61934	choroid plexus of cerebral hemisphere
FMA83740	interpeduncular fossa
FMA62394	peduncle of midbrain
FMA71114	brachium of inferior colliculus
FMA72417	brachium of superior colliculus
FMA62404	inferior colliculus
FMA62403	superior colliculus
FMA78467	cerebral aqueduct
FMA67944	cerebellum
FMA62009	epithalamus
FMA62032	habenula
FMA62007	thalamus
FMA62080	stria medullaris of thalamus
FMA62023	metathalamus
FMA62209	lateral geniculate body
FMA62211	medial geniculate body
FMA62008	hypothalamus
FMA74877	mammillary body
FMA62045	optic chiasm
FMA62046	optic tract
FMA62327	tuber cinereum
FMA78454	third ventricle
FMA75351	interventricular foramen
FMA62072	posterior commissure
FMA61975	lamina terminalis
FMA61961	anterior commissure
FMA62028	intermediate hypothalamic region
FMA61974	stria terminalis
FMA61965	fornix of forebrain
FMA61817	cerebral hemisphere
FMA61830	cerebral cortex
FMA61859	middle frontal gyrus
FMA61894	precentral gyrus
FMA61857	superior frontal gyrus
FMA61898	angular gyrus
FMA61896	postcentral gyrus
FMA61897	supramarginal gyrus
FMA61825	temporal lobe
FMA61905	superior temporal gyrus
FMA61906	middle temporal gyrus
FMA61907	inferior temporal gyrus
FMA67329	insula
FMA61908	fusiform gyrus
FMA72719	limbic lobe
FMA62434	cingulate gyrus
FMA61918	parahippocampal gyrus
FMA86464	corpus callosum
FMA61970	commissure of fornix of forebrain
FMA61844	septum pellucidum
FMA78448	lateral ventricle
FMA62424	archicortex
FMA62429	neocortex
FMA83687	allocortex
FMA62493	hippocampus
FMA61841	amygdala
FMA61842	septum of telencephalon
FMA61833	caudate nucleus
FMA61834	putamen
FMA61835	globus pallidus
FMA61950	internal capsule
FMA61952	anterior limb of internal capsule
FMA50863	optic nerve
FMA78499	sense organ system
FMA12513	eyeball
FMA54439	upper eyelid
FMA54442	lower eyelid
FMA72979	integumentary system
FMA74657	integument
FMA7163	skin
FMA70752	set of hairs
FMA70751	set of head hairs
FMA71098	set of eyebrows
FMA70754	set of pubic hairs
BP24	left costal cartilage
BP28	right costal cartilage
BP44	humeral head of left extensor carpi ulnaris
BP45	humeral head of right extensor carpi ulnaris
BP46	ulnar head of left extensor carpi ulnaris
BP47	ulnar head of right extensor carpi ulnaris
BP48	superior parietal lobule precuneus
BP49	left superior parietal lobule precuneus
BP50	right superior parietal lobule precuneus
BP51	orbital gyri straight gyrus
FMA10014	ninth thoracic vertebra
FMA10037	tenth thoracic vertebra
FMA10059	eleventh thoracic vertebra
FMA10081	twelfth thoracic vertebra
FMA10458	intervertebral disk of first thoracic vertebra
FMA12521	third cervical vertebra
FMA12522	fourth cervical vertebra
FMA12523	fifth cervical vertebra
FMA12524	sixth cervical vertebra
FMA12846	cardiac vein
FMA13072	first lumbar vertebra
FMA13073	second lumbar vertebra
FMA13074	third lumbar vertebra
FMA13075	fourth lumbar vertebra
FMA13076	fifth lumbar vertebra
FMA13322	right clavicle
FMA13323	left clavicle
FMA13336	right external oblique
FMA13337	left external oblique
FMA13346	right sternohyoid
FMA13347	left sternohyoid
FMA13348	right omohyoid
FMA13349	left omohyoid
FMA13350	right sternothyroid
FMA13351	left sternothyroid
FMA13352	right thyrohyoid
FMA13353	left thyrohyoid
FMA13358	right latissimus dorsi
FMA13359	left latissimus dorsi
FMA13375	right pectoralis minor
FMA13376	left pectoralis minor
FMA13377	right rectus abdominis
FMA13378	left rectus abdominis
FMA13381	right rhomboid major
FMA13382	left rhomboid major
FMA13383	right rhomboid minor
FMA13384	left rhomboid minor
FMA13388	right scalenus posterior
FMA13389	left scalenus posterior
FMA13390	right scalenus medius
FMA13391	left scalenus medius
FMA13392	right scalenus anterior
FMA13393	left scalenus anterior
FMA13395	right scapula
FMA13396	left scapula
FMA13398	right serratus anterior
FMA13399	left serratus anterior
FMA13403	right serratus posterior superior
FMA13404	left serratus posterior superior
FMA13405	right serratus posterior inferior
FMA13406	left serratus posterior inferior
FMA13408	right sternocleidomastoid
FMA13409	left sternocleidomastoid
FMA13411	left subclavius
FMA13412	right subclavius
FMA13414	right subscapularis
FMA13415	left subscapularis
FMA13495	intervertebral disk of second thoracic vertebra
FMA13500	intervertebral disk of third thoracic vertebra
FMA13501	intervertebral disk of fourth thoracic vertebra
FMA13502	intervertebral disk of fifth thoracic vertebra
FMA13503	intervertebral disk of sixth thoracic vertebra
FMA13504	intervertebral disk of seventh thoracic vertebra
FMA13505	intervertebral disk of eighth thoracic vertebra
FMA13506	intervertebral disk of ninth thoracic vertebra
FMA13507	intervertebral disk of tenth thoracic vertebra
FMA13508	intervertebral disk of eleventh thoracic vertebra
FMA13509	intervertebral disk of twelfth thoracic vertebra
FMA13892	right internal oblique
FMA13893	left internal oblique
FMA13896	intervertebral disk of third cervical vertebra
FMA13897	intervertebral disk of fourth cervical vertebra
FMA13898	intervertebral disk of fifth cervical vertebra
FMA13899	intervertebral disk of sixth cervical vertebra
FMA13900	intervertebral disk of seventh cervical vertebra
FMA14335	right renal vein
FMA14336	left renal vein
FMA14543nsn	colon, nsn
FMA14752	right renal artery
FMA14753	left renal artery
FMA14765	right common iliac artery
FMA14766	left common iliac artery
FMA15571	right ureter
FMA15572	left ureter
FMA15629	right adrenal gland
FMA15630	left adrenal gland
FMA16033	intervertebral disk of first lumbar vertebra
FMA16034	intervertebral disk of second lumbar vertebra
FMA16035	intervertebral disk of third lumbar vertebra
FMA16036	intervertebral disk of fourth lumbar vertebra
FMA16037	intervertebral disk of fifth lumbar vertebra
FMA16586	right hip bone
FMA16587	left hip bone
FMA18256	right epididymis
FMA18257	left epididymis
FMA18806	right external iliac artery
FMA18807	left external iliac artery
FMA18809	right internal iliac artery
FMA18810	left internal iliac artery
FMA18885	right external iliac vein
FMA18886	left external iliac vein
FMA18887	right internal iliac vein
FMA18888	left internal iliac vein
FMA19235	right deferent duct
FMA19236	left deferent duct
FMA19387	right seminal vesicle
FMA19388	left seminal vesicle
FMA19617nsn	corpus spongiosum of penis, nsn
FMA19667	urethra
FMA21387	right common iliac vein
FMA21388	left common iliac vein
FMA21964	right inguinal ligament
FMA21965	left inguinal ligament
FMA22322	right iliacus
FMA22323	left iliacus
FMA22324	right obturator internus
FMA22325	left obturator internus
FMA22326	right obturator externus
FMA22327	left obturator externus
FMA22328	right gluteus maximus
FMA22329	left gluteus maximus
FMA22330	right gluteus medius
FMA22331	left gluteus medius
FMA22332	right gluteus minimus
FMA22333	left gluteus minimus
FMA22334	right gemellus superior
FMA22335	left gemellus superior
FMA22336	right gemellus inferior
FMA22337	left gemellus inferior
FMA22338	right quadratus femoris
FMA22339	left quadratus femoris
FMA22340	right piriformis
FMA22341	left piriformis
FMA22342	right psoas major
FMA22343	left psoas major
FMA22344	right transversus abdominis
FMA22345	left transversus abdominis
FMA22346	right pyramidalis
FMA22347	left pyramidalis
FMA22348	right quadratus lumborum
FMA22349	left quadratus lumborum
FMA22354	right sartorius
FMA22355	left sartorius
FMA22358	right semitendinosus
FMA22359	left semitendinosus
FMA22425	right tensor fasciae latae
FMA22426	left tensor fasciae latae
FMA22448	right semimembranosus
FMA22449	left semimembranosus
FMA22450	right pectineus
FMA22451	left pectineus
FMA22452	right adductor brevis
FMA22454	left adductor brevis
FMA22456	right adductor longus
FMA22457	left adductor longus
FMA22459	right adductor magnus
FMA22460	left adductor magnus
FMA22544	right tibialis anterior
FMA22545	left tibialis anterior
FMA22546	right extensor hallucis longus
FMA22547	left extensor hallucis longus
FMA22548	right extensor digitorum longus
FMA22549	left extensor digitorum longus
FMA22550	right fibularis tertius
FMA22551	left fibularis tertius
FMA22552	right fibularis longus
FMA22553	left fibularis longus
FMA22554	right fibularis brevis
FMA22555	left fibularis brevis
FMA22558	right soleus
FMA22559	left soleus
FMA22560	right plantaris
FMA22561	left plantaris
FMA22591	right popliteus
FMA22592	left popliteus
FMA22726	right splenius cervicis
FMA22727	left splenius cervicis
FMA22728	right splenius capitis
FMA22729	left splenius capitis
FMA22740	right iliocostalis lumborum
FMA22741	left iliocostalis lumborum
FMA22742	right iliocostalis thoracis
FMA22743	left iliocostalis thoracis
FMA22744	right iliocostalis cervicis
FMA22745	left iliocostalis cervicis
FMA22751	right longissimus thoracis
FMA22753	left longissimus thoracis
FMA22754	right longissimus capitis
FMA22756	left longissimus capitis
FMA22757	right longissimus cervicis
FMA22758	left longissimus cervicis
FMA22770	spinalis cervicis
FMA22779	right spinalis thoracis
FMA22780	left spinalis thoracis
FMA22781	right spinalis cervicis
FMA22782	left spinalis cervicis
FMA22872	right semispinalis thoracis
FMA22873	left semispinalis thoracis
FMA22874	right semispinalis cervicis
FMA22875	left semispinalis cervicis
FMA22876	right semispinalis capitis
FMA22877	left semispinalis capitis
FMA22878	right multifidus
FMA22879	left multifidus
FMA23089	right lumbar rotator
FMA23090	left lumbar rotator
FMA230986	middle phalanx of right little toe
FMA230988	middle phalanx of left little toe
FMA23130	right humerus
FMA23131	left humerus
FMA23464	right radius
FMA23465	left radius
FMA23467	right ulna
FMA23468	left ulna
FMA23707	interosseous membrane of right forearm
FMA23708	interosseous membrane of left forearm
FMA23725	right trapezoid
FMA23938	middle phalanx of left index finger
FMA23940	middle phalanx of left middle finger
FMA23942	middle phalanx of left ring finger
FMA23944	middle phalanx of left little finger
FMA23951	distal phalanx of left thumb
FMA23953	distal phalanx of left index finger
FMA23955	distal phalanx of left middle finger
FMA23957	distal phalanx of left ring finger
FMA23959	distal phalanx of left little finger
FMA24435	right scaphoid
FMA24436	left scaphoid
FMA24437	right lunate
FMA24438	left lunate
FMA24439	right triquetral
FMA24440	left triquetral
FMA24441	right pisiform
FMA24442	left pisiform
FMA24443	right trapezium
FMA24444	left trapezium
FMA24445	left trapezoid
FMA24446	right capitate
FMA24447	left capitate
FMA24448	right hamate
FMA24449	left hamate
FMA24450	proximal phalanx of right thumb
FMA24451	proximal phalanx of right index finger
FMA24452	proximal phalanx of right middle finger
FMA24453	proximal phalanx of right ring finger
FMA24454	proximal phalanx of right little finger
FMA24455	middle phalanx of right index finger
FMA24456	middle phalanx of right middle finger
FMA24457	middle phalanx of right ring finger
FMA24458	middle phalanx of right little finger
FMA24459	distal phalanx of right thumb
FMA24460	distal phalanx of right index finger
FMA24461	distal phalanx of right middle finger
FMA24462	distal phalanx of right ring finger
FMA24463	distal phalanx of right little finger
FMA24464	right first metacarpal bone
FMA24465	left first metacarpal bone
FMA24466	right second metacarpal bone
FMA24467	left second metacarpal bone
FMA24468	right third metacarpal bone
FMA24469	left third metacarpal bone
FMA24470	right fourth metacarpal bone
FMA24471	left fourth metacarpal bone
FMA24472	right fifth metacarpal bone
FMA24473	left fifth metacarpal bone
