composite id	composite name	primitive id	primitive name
FMA13413	subscapularis	FMA13415	left subscapularis
FMA13413	subscapularis	FMA13414	right subscapularis
FMA13478	vertebral column	FMA72065	set of lumbar vertebrae
FMA13478	vertebral column	FMA13900	intervertebral disk of seventh cervical vertebra
FMA13478	vertebral column	FMA13509	intervertebral disk of twelfth thoracic vertebra
FMA13478	vertebral column	FMA72064	set of thoracic vertebrae
FMA13478	vertebral column	FMA13899	intervertebral disk of sixth cervical vertebra
FMA13478	vertebral column	FMA13508	intervertebral disk of eleventh thoracic vertebra
FMA13478	vertebral column	FMA72063	set of cervical vertebrae
FMA13478	vertebral column	FMA13507	intervertebral disk of tenth thoracic vertebra
FMA13478	vertebral column	FMA13897	intervertebral disk of fourth cervical vertebra
FMA13478	vertebral column	FMA13898	intervertebral disk of fifth cervical vertebra
FMA13478	vertebral column	FMA13896	intervertebral disk of third cervical vertebra
FMA13478	vertebral column	FMA16033	intervertebral disk of first lumbar vertebra
FMA13478	vertebral column	FMA9922	fifth thoracic vertebra
FMA13478	vertebral column	FMA9187	second thoracic vertebra
FMA13478	vertebral column	FMA16035	intervertebral disk of third lumbar vertebra
FMA13478	vertebral column	FMA16034	intervertebral disk of second lumbar vertebra
FMA13478	vertebral column	FMA16037	intervertebral disk of fifth lumbar vertebra
FMA13478	vertebral column	FMA9945	sixth thoracic vertebra
FMA13478	vertebral column	FMA16036	intervertebral disk of fourth lumbar vertebra
FMA13478	vertebral column	FMA9165	first thoracic vertebra
FMA13478	vertebral column	FMA25058	intervertebral disk of axis
FMA13478	vertebral column	FMA9968	seventh thoracic vertebra
FMA13478	vertebral column	FMA9248	fourth thoracic vertebra
FMA13478	vertebral column	FMA9209	third thoracic vertebra
FMA13478	vertebral column	FMA13495	intervertebral disk of second thoracic vertebra
FMA13478	vertebral column	FMA10458	intervertebral disk of first thoracic vertebra
FMA13478	vertebral column	FMA9914	vertebra
FMA13478	vertebral column	FMA16202	sacrum
FMA13478	vertebral column	FMA13504	intervertebral disk of seventh thoracic vertebra
FMA13478	vertebral column	FMA13503	intervertebral disk of sixth thoracic vertebra
FMA13478	vertebral column	FMA9991	eighth thoracic vertebra
FMA13478	vertebral column	FMA13506	intervertebral disk of ninth thoracic vertebra
FMA13478	vertebral column	FMA13505	intervertebral disk of eighth thoracic vertebra
FMA13478	vertebral column	FMA13500	intervertebral disk of third thoracic vertebra
FMA13478	vertebral column	FMA13502	intervertebral disk of fifth thoracic vertebra
FMA13478	vertebral column	FMA13501	intervertebral disk of fourth thoracic vertebra
FMA13891	internal oblique	FMA13893	left internal oblique
FMA13891	internal oblique	FMA13892	right internal oblique
FMA13902	fascia lata	FMA58777	left iliotibial tract
FMA13902	fascia lata	FMA51048	iliotibial tract
FMA13902	fascia lata	FMA58776	right iliotibial tract
FMA14181	back	FMA76775	set of medial lumbar intertransversarius muscles
FMA14181	back	FMA13403	right serratus posterior superior
FMA14181	back	FMA22770	spinalis cervicis
FMA14181	back	FMA13405	right serratus posterior inferior
FMA14181	back	FMA13404	left serratus posterior superior
FMA14181	back	FMA13406	left serratus posterior inferior
FMA14181	back	FMA22879	left multifidus
FMA14181	back	FMA22779	right spinalis thoracis
FMA14181	back	FMA9945	sixth thoracic vertebra
FMA14181	back	FMA32519	levator scapulae
FMA14181	back	FMA13359	left latissimus dorsi
FMA14181	back	FMA13358	right latissimus dorsi
FMA14181	back	FMA9248	fourth thoracic vertebra
FMA14181	back	FMA22765	spinalis thoracis
FMA14181	back	FMA10458	intervertebral disk of first thoracic vertebra
FMA14181	back	FMA13504	intervertebral disk of seventh thoracic vertebra
FMA14181	back	FMA13503	intervertebral disk of sixth thoracic vertebra
FMA14181	back	FMA13506	intervertebral disk of ninth thoracic vertebra
FMA14181	back	FMA13505	intervertebral disk of eighth thoracic vertebra
FMA14181	back	FMA13500	intervertebral disk of third thoracic vertebra
FMA14181	back	FMA13502	intervertebral disk of fifth thoracic vertebra
FMA14181	back	FMA22758	left longissimus cervicis
FMA14181	back	FMA13501	intervertebral disk of fourth thoracic vertebra
FMA14181	back	FMA24189	back of neck
FMA14181	back	FMA72065	set of lumbar vertebrae
FMA14181	back	FMA13900	intervertebral disk of seventh cervical vertebra
FMA14181	back	FMA72064	set of thoracic vertebrae
FMA14181	back	FMA13899	intervertebral disk of sixth cervical vertebra
FMA14181	back	FMA72063	set of cervical vertebrae
FMA14181	back	FMA13897	intervertebral disk of fourth cervical vertebra
FMA14181	back	FMA13898	intervertebral disk of fifth cervical vertebra
FMA14181	back	FMA22653	splenius capitis
FMA14181	back	FMA13896	intervertebral disk of third cervical vertebra
FMA14181	back	FMA22751	right longissimus thoracis
FMA14181	back	FMA9922	fifth thoracic vertebra
FMA14181	back	FMA22753	left longissimus thoracis
FMA14181	back	FMA61681	back of abdomen
FMA14181	back	FMA22754	right longissimus capitis
FMA14181	back	FMA22757	right longissimus cervicis
FMA14181	back	FMA22756	left longissimus capitis
FMA14181	back	FMA71444	set of lateral lumbar intertransversarius muscles
FMA14181	back	FMA22742	right iliocostalis thoracis
FMA14181	back	FMA22741	left iliocostalis lumborum
FMA14181	back	FMA22740	right iliocostalis lumborum
FMA14181	back	FMA9914	vertebra
FMA14181	back	FMA81752	right cervical rotator
FMA14181	back	FMA22745	left iliocostalis cervicis
FMA14181	back	FMA22744	right iliocostalis cervicis
FMA14181	back	FMA16202	sacrum
FMA14181	back	FMA81753	left cervical rotator
FMA14181	back	FMA22743	left iliocostalis thoracis
FMA14181	back	FMA22877	left semispinalis capitis
FMA14181	back	FMA9991	eighth thoracic vertebra
FMA14181	back	FMA22878	right multifidus
FMA14181	back	FMA22875	left semispinalis cervicis
FMA14181	back	FMA22876	right semispinalis capitis
FMA14181	back	FMA22873	left semispinalis thoracis
FMA14181	back	FMA22874	right semispinalis cervicis
FMA14181	back	FMA22872	right semispinalis thoracis
FMA14181	back	FMA13384	left rhomboid minor
FMA14181	back	FMA13383	right rhomboid minor
FMA14181	back	FMA13382	left rhomboid major
FMA14181	back	FMA13381	right rhomboid major
FMA14181	back	FMA77177	iliocostalis
FMA14181	back	FMA23090	left lumbar rotator
FMA14181	back	FMA9187	second thoracic vertebra
FMA14181	back	FMA77179	spinalis
FMA14181	back	FMA77178	longissimus
FMA14181	back	FMA71443	set of posterior cervical intertransversarii
FMA14181	back	FMA71442	set of anterior cervical intertransversarii
FMA14181	back	FMA22729	left splenius capitis
FMA14181	back	FMA9209	third thoracic vertebra
FMA14181	back	FMA22726	right splenius cervicis
FMA14181	back	FMA22728	right splenius capitis
FMA14181	back	FMA22727	left splenius cervicis
FMA14181	back	FMA13495	intervertebral disk of second thoracic vertebra
FMA14181	back	FMA77180	splenius
FMA14181	back	FMA22714	longissimus capitis
FMA14181	back	FMA13509	intervertebral disk of twelfth thoracic vertebra
FMA14181	back	FMA13508	intervertebral disk of eleventh thoracic vertebra
FMA14181	back	FMA13507	intervertebral disk of tenth thoracic vertebra
FMA14181	back	FMA22711	longissimus cervicis
FMA14181	back	FMA16033	intervertebral disk of first lumbar vertebra
FMA14181	back	FMA16035	intervertebral disk of third lumbar vertebra
FMA14181	back	FMA16034	intervertebral disk of second lumbar vertebra
FMA14181	back	FMA16037	intervertebral disk of fifth lumbar vertebra
FMA14181	back	FMA9165	first thoracic vertebra
FMA14181	back	FMA16036	intervertebral disk of fourth lumbar vertebra
FMA14181	back	FMA71291	musculature of back
FMA14181	back	FMA25058	intervertebral disk of axis
FMA14181	back	FMA9968	seventh thoracic vertebra
FMA14181	back	FMA22704	iliocostalis cervicis
FMA14181	back	FMA22823	semispinalis
FMA14181	back	FMA32541	left levator scapulae
FMA14181	back	FMA22709	longissimus thoracis
FMA14181	back	FMA32540	right levator scapulae
FMA14181	back	FMA23082	cervical rotator
FMA14181	back	FMA22828	semispinalis thoracis
FMA14181	back	FMA22829	semispinalis cervicis
FMA14181	back	FMA71305	rotatores muscle group
FMA14181	back	FMA71306	set of interspinales
FMA14181	back	FMA22827	multifidus
FMA14181	back	FMA22702	iliocostalis lumborum
FMA14181	back	FMA71307	set of interspinales lumborum
FMA14181	back	FMA71308	set of interspinales thoracis
FMA14181	back	FMA71309	set of interspinales cervicis
FMA14181	back	FMA33587	descending part of left trapezius
FMA14181	back	FMA22681	splenius cervicis
FMA14181	back	FMA33585	transverse part of left trapezius
FMA14181	back	FMA33586	descending part of right trapezius
FMA14181	back	FMA32556	transverse part of trapezius
FMA14181	back	FMA32555	ascending part of trapezius
FMA14181	back	FMA23089	right lumbar rotator
FMA14181	back	FMA32557	descending part of trapezius
FMA14181	back	FMA33583	ascending part of left trapezius
FMA14181	back	FMA22830	semispinalis capitis
FMA14181	back	FMA23083	thoracic rotator
FMA14181	back	FMA33584	transverse part of right trapezius
FMA14181	back	FMA23084	lumbar rotator
FMA14181	back	FMA22780	left spinalis thoracis
FMA14181	back	FMA9626	trapezius
FMA14181	back	FMA33581	ascending part of right trapezius
FMA14181	back	FMA22781	right spinalis cervicis
FMA14181	back	FMA22782	left spinalis cervicis
FMA14333	common iliac vein	FMA21388	left common iliac vein
FMA14333	common iliac vein	FMA21387	right common iliac vein
FMA14543	colon	FMA14543nsn	colon, nsn
FMA14543	colon	FMA14986	muscle layer of colon
FMA14543	colon	FMA76891	mesocolic taenia
FMA14543	colon	FMA14987	longitudinal muscle layer of colon
FMA14543	colon	FMA76893	free taenia
FMA14543	colon	FMA76892	omental taenia
FMA14751	renal artery	FMA14753	left renal artery
FMA14751	renal artery	FMA14752	right renal artery
FMA14764	common iliac artery	FMA18810	left internal iliac artery
FMA14764	common iliac artery	FMA14766	left common iliac artery
FMA14764	common iliac artery	FMA14765	right common iliac artery
FMA14764	common iliac artery	FMA18809	right internal iliac artery
FMA14764	common iliac artery	FMA18805	external iliac artery
FMA14764	common iliac artery	FMA18806	right external iliac artery
FMA14764	common iliac artery	FMA18807	left external iliac artery
FMA14764	common iliac artery	FMA18808	internal iliac artery
FMA14986	muscle layer of colon	FMA76891	mesocolic taenia
FMA14986	muscle layer of colon	FMA14987	longitudinal muscle layer of colon
FMA14986	muscle layer of colon	FMA76893	free taenia
FMA14986	muscle layer of colon	FMA76892	omental taenia
FMA14987	longitudinal muscle layer of colon	FMA76891	mesocolic taenia
FMA14987	longitudinal muscle layer of colon	FMA76893	free taenia
FMA14987	longitudinal muscle layer of colon	FMA76892	omental taenia
FMA15568	pyramidalis	FMA22346	right pyramidalis
FMA15568	pyramidalis	FMA22347	left pyramidalis
FMA15569	quadratus lumborum	FMA22348	right quadratus lumborum
FMA15569	quadratus lumborum	FMA22349	left quadratus lumborum
FMA15570	transversus abdominis	FMA22344	right transversus abdominis
FMA15570	transversus abdominis	FMA22345	left transversus abdominis
FMA16580	bony pelvis	FMA16586	right hip bone
FMA16580	bony pelvis	FMA16587	left hip bone
FMA16580	bony pelvis	FMA16202	sacrum
FMA16581	pelvic girdle	FMA22299	obturator externus
FMA16581	pelvic girdle	FMA16586	right hip bone
FMA16581	pelvic girdle	FMA16587	left hip bone
FMA16581	pelvic girdle	FMA22318	gemellus superior
FMA16581	pelvic girdle	FMA16585	hip bone
FMA16581	pelvic girdle	FMA22298	obturator internus
FMA16581	pelvic girdle	FMA22326	right obturator externus
FMA16581	pelvic girdle	FMA22325	left obturator internus
FMA16581	pelvic girdle	FMA22328	right gluteus maximus
FMA16581	pelvic girdle	FMA22327	left obturator externus
FMA16581	pelvic girdle	FMA22322	right iliacus
FMA16581	pelvic girdle	FMA22321	quadratus femoris
FMA16581	pelvic girdle	FMA22340	right piriformis
FMA16581	pelvic girdle	FMA22341	left piriformis
FMA16581	pelvic girdle	FMA22324	right obturator internus
FMA16581	pelvic girdle	FMA22323	left iliacus
FMA16581	pelvic girdle	FMA22320	gemellus inferior
FMA16581	pelvic girdle	FMA24964	hip
FMA16581	pelvic girdle	FMA22423	tensor fasciae latae
FMA16581	pelvic girdle	FMA19082	piriformis
FMA16581	pelvic girdle	FMA22425	right tensor fasciae latae
FMA16581	pelvic girdle	FMA22329	left gluteus maximus
FMA16581	pelvic girdle	FMA22426	left tensor fasciae latae
FMA16581	pelvic girdle	FMA16202	sacrum
FMA16581	pelvic girdle	FMA22339	left quadratus femoris
FMA16581	pelvic girdle	FMA22338	right quadratus femoris
FMA16581	pelvic girdle	FMA22337	left gemellus inferior
FMA16581	pelvic girdle	FMA22336	right gemellus inferior
FMA16581	pelvic girdle	FMA22310	iliacus
FMA16581	pelvic girdle	FMA22335	left gemellus superior
FMA16581	pelvic girdle	FMA22317	gluteus minimus
FMA16581	pelvic girdle	FMA22334	right gemellus superior
FMA16581	pelvic girdle	FMA22315	gluteus medius
FMA16581	pelvic girdle	FMA22333	left gluteus minimus
FMA16581	pelvic girdle	FMA22314	gluteus maximus
FMA16581	pelvic girdle	FMA22332	right gluteus minimus
FMA16581	pelvic girdle	FMA22331	left gluteus medius
FMA16581	pelvic girdle	FMA22330	right gluteus medius
FMA16585	hip bone	FMA16586	right hip bone
FMA16585	hip bone	FMA16587	left hip bone
FMA18060	psoas major	FMA22342	right psoas major
FMA18060	psoas major	FMA22343	left psoas major
FMA18249	body of penis	FMA19617nsn	corpus spongiosum of penis, nsn
FMA18249	body of penis	FMA19617	corpus spongiosum of penis
FMA18249	body of penis	FMA19618	corpus cavernosum of penis
FMA18252	scrotum	FMA7211	right testis
FMA18252	scrotum	FMA7212	left testis
FMA18255	epididymis	FMA18256	right epididymis
FMA18255	epididymis	FMA18257	left epididymis
FMA18805	external iliac artery	FMA18806	right external iliac artery
FMA18805	external iliac artery	FMA18807	left external iliac artery
FMA18808	internal iliac artery	FMA18810	left internal iliac artery
FMA18808	internal iliac artery	FMA18809	right internal iliac artery
FMA18883	external iliac vein	FMA18885	right external iliac vein
FMA18883	external iliac vein	FMA18886	left external iliac vein
FMA18884	internal iliac vein	FMA18887	right internal iliac vein
FMA18884	internal iliac vein	FMA18888	left internal iliac vein
FMA19082	piriformis	FMA22340	right piriformis
FMA19082	piriformis	FMA22341	left piriformis
FMA19087	levator ani	FMA45855	left pubococcygeus
FMA19087	levator ani	FMA45854	right pubococcygeus
FMA19087	levator ani	FMA45857	left puborectalis
FMA19087	levator ani	FMA45856	right puborectalis
FMA19087	levator ani	FMA19091	puborectalis
FMA19087	levator ani	FMA19092	iliococcygeus
FMA19087	levator ani	FMA19090	pubococcygeus
FMA19087	levator ani	FMA46442	tendinous arch of levator ani
FMA19087	levator ani	FMA45858	right iliococcygeus
FMA19087	levator ani	FMA45859	left iliococcygeus
FMA19088	coccygeus	FMA46444	left coccygeus
FMA19088	coccygeus	FMA46443	right coccygeus
FMA19090	pubococcygeus	FMA45855	left pubococcygeus
FMA19090	pubococcygeus	FMA45854	right pubococcygeus
FMA19091	puborectalis	FMA45857	left puborectalis
FMA19091	puborectalis	FMA45856	right puborectalis
FMA19092	iliococcygeus	FMA45858	right iliococcygeus
FMA19092	iliococcygeus	FMA45859	left iliococcygeus
FMA19234	deferent duct	FMA19236	left deferent duct
FMA19234	deferent duct	FMA19235	right deferent duct
FMA19386	seminal vesicle	FMA19387	right seminal vesicle
FMA19386	seminal vesicle	FMA19388	left seminal vesicle
FMA19617	corpus spongiosum of penis	FMA19617nsn	corpus spongiosum of penis, nsn
FMA19726	pelvic diaphragm	FMA46444	left coccygeus
FMA19726	pelvic diaphragm	FMA46443	right coccygeus
FMA19726	pelvic diaphragm	FMA46442	tendinous arch of levator ani
FMA19726	pelvic diaphragm	FMA45858	right iliococcygeus
FMA19726	pelvic diaphragm	FMA45859	left iliococcygeus
FMA19726	pelvic diaphragm	FMA45855	left pubococcygeus
FMA19726	pelvic diaphragm	FMA45854	right pubococcygeus
FMA19726	pelvic diaphragm	FMA45857	left puborectalis
FMA19726	pelvic diaphragm	FMA45856	right puborectalis
FMA19726	pelvic diaphragm	FMA19091	puborectalis
FMA19726	pelvic diaphragm	FMA19092	iliococcygeus
FMA19726	pelvic diaphragm	FMA19090	pubococcygeus
FMA19855	inguinal ligament	FMA21964	right inguinal ligament
FMA19855	inguinal ligament	FMA21965	left inguinal ligament
FMA20347	anal part of perineum	FMA21930	external anal sphincter
FMA20348	urogenital part of perineum	FMA7211	right testis
FMA20348	urogenital part of perineum	FMA7212	left testis
FMA20348	urogenital part of perineum	FMA19617nsn	corpus spongiosum of penis, nsn
FMA20348	urogenital part of perineum	FMA9707	penis
FMA20348	urogenital part of perineum	FMA19617	corpus spongiosum of penis
FMA20348	urogenital part of perineum	FMA19618	corpus cavernosum of penis
FMA20394	human body	FMA42402	set of palmar interossei of right hand
FMA20394	human body	FMA55623	crown of tooth
FMA20394	human body	FMA42403	set of palmar interossei of left hand
FMA20394	human body	FMA258847	right calcaneal tendon
FMA20394	human body	FMA22770	spinalis cervicis
FMA20394	human body	FMA38558	humeral head of pronator teres
FMA20394	human body	FMA38559	ulnar head of pronator teres
FMA20394	human body	FMA48996	masseter
FMA20394	human body	FMA22779	right spinalis thoracis
FMA20394	human body	FMA32519	levator scapulae
FMA20394	human body	FMA32521	deltoid
FMA20394	human body	FMA32525	rectus capitis posterior major
FMA20394	human body	FMA9248	fourth thoracic vertebra
FMA20394	human body	FMA54379	orbital compartment
FMA20394	human body	FMA258850	right intermediate tendon
FMA20394	human body	FMA72833	left amygdala
FMA20394	human body	FMA72832	right amygdala
FMA20394	human body	FMA72831	left globus pallidus
FMA20394	human body	FMA54375	nasal septum
FMA20394	human body	FMA72830	right globus pallidus
FMA20394	human body	FMA55611	left procerus
FMA20394	human body	FMA14986	muscle layer of colon
FMA20394	human body	FMA14987	longitudinal muscle layer of colon
FMA20394	human body	FMA55610	right procerus
FMA20394	human body	FMA32527	obliquus capitis superior
FMA20394	human body	FMA7309	right lung
FMA20394	human body	FMA32526	rectus capitis posterior minor
FMA20394	human body	FMA32528	obliquus capitis inferior
FMA20394	human body	FMA22765	spinalis thoracis
FMA20394	human body	FMA32530	right rectus capitis posterior major
FMA20394	human body	FMA32531	left rectus capitis posterior major
FMA20394	human body	FMA32532	right rectus capitis posterior minor
FMA20394	human body	FMA32533	left rectus capitis posterior minor
FMA20394	human body	FMA32534	right obliquus capitis superior
FMA20394	human body	FMA32535	left obliquus capitis superior
FMA20394	human body	FMA22758	left longissimus cervicis
FMA20394	human body	FMA53074	orbit
FMA20394	human body	FMA32536	right obliquus capitis inferior
FMA20394	human body	FMA55609	left depressor septi nasi
FMA20394	human body	FMA7101	left ventricle
FMA20394	human body	FMA55608	right depressor septi nasi
FMA20394	human body	FMA55607	left nasalis
FMA20394	human body	FMA42405	set of dorsal interossei of left hand
FMA20394	human body	FMA55606	right nasalis
FMA20394	human body	FMA42404	set of dorsal interossei of right hand
FMA20394	human body	FMA62211	medial geniculate body
FMA20394	human body	FMA23881	skeletal system
FMA20394	human body	FMA62009	epithalamus
FMA20394	human body	FMA7310	left lung
FMA20394	human body	FMA62008	hypothalamus
FMA20394	human body	FMA62007	thalamus
FMA20394	human body	FMA22751	right longissimus thoracis
FMA20394	human body	FMA22753	left longissimus thoracis
FMA20394	human body	FMA22754	right longissimus capitis
FMA20394	human body	FMA22757	right longissimus cervicis
FMA20394	human body	FMA22756	left longissimus capitis
FMA20394	human body	FMA74846	segment of knee
FMA20394	human body	FMA9462	myocardium
FMA20394	human body	FMA22340	right piriformis
FMA20394	human body	FMA54393	subdivision of face
FMA20394	human body	FMA22341	left piriformis
FMA20394	human body	FMA22342	right psoas major
FMA20394	human body	FMA55638	molar tooth
FMA20394	human body	FMA22343	left psoas major
